ID,y
1,83.32615
2,97.4466
3,83.468216
4,77.01314
5,112.57708
8,91.48832
10,99.76706
11,95.44469
12,116.979836
14,95.91493
15,116.13262
16,105.20725
17,100.92767
19,91.05338
20,100.24502
21,103.75914
22,118.5778
23,100.92767
26,95.93069
28,96.63284
29,100.92767
33,100.92767
35,94.61712
41,100.92767
42,94.606255
43,113.10289
45,102.01363
46,101.21018
51,94.41692
53,85.213684
55,109.18551
56,106.04073
57,110.213745
58,99.223495
59,103.72877
63,105.44921
64,94.51952
65,100.92185
69,97.44009
71,99.31536
72,104.7893
73,95.58087
76,104.285706
77,96.912506
78,115.99757
82,94.294464
83,100.92185
84,101.18116
85,106.723305
87,110.39226
88,100.92767
89,110.13268
91,97.637024
93,102.20614
94,104.89547
95,99.4635
96,111.171906
97,95.54414
98,109.852234
99,99.27572
101,105.80559
103,110.13268
104,93.68159
105,110.31844
110,97.33802
111,102.758675
113,104.59242
114,96.55222
115,111.38759
117,110.13268
120,95.89161
121,113.04283
122,94.66836
123,105.74031
126,108.31357
132,109.32958
135,110.309265
137,102.67593
138,95.06504
140,104.329704
142,108.76139
144,110.55696
148,91.76522
149,111.60017
155,101.65118
156,111.93693
157,95.54414
162,113.83211
163,95.93229
167,94.7596
172,113.10289
179,107.08961
180,94.81703
181,107.88008
182,97.59676
183,110.13268
185,110.13268
187,106.963974
188,93.00167
189,94.306015
191,94.019104
192,103.91916
193,94.03178
194,107.7028
195,94.63667
196,99.39854
198,108.96948
199,111.3095
201,99.8401
204,95.319
205,106.07051
206,106.90405
210,97.34002
211,105.80559
216,111.89534
219,116.979836
220,92.81315
221,109.274086
226,107.88008
227,93.27189
228,109.99527
230,109.49875
231,95.54414
235,118.5778
236,99.23112
238,111.72509
242,104.56864
243,93.80356
244,79.73735
245,110.81557
247,116.961006
248,95.230705
249,91.367615
250,113.24142
251,99.23112
253,118.5778
254,95.35884
256,95.466255
257,92.14539
258,108.89361
259,99.02552
262,91.92479
266,100.85059
267,113.055115
272,104.03293
273,110.13268
275,94.37121
276,109.52864
279,93.45152
280,100.92185
283,92.59959
285,109.646996
288,110.13268
289,108.510025
290,100.89049
291,95.15932
292,105.80975
293,105.16945
296,95.28618
297,105.78911
298,116.037506
299,93.91669
304,91.83056
305,86.217865
306,94.95383
307,109.0126
311,103.75307
313,108.96136
314,92.695816
316,109.17119
324,109.64049
327,99.164696
329,92.57011
330,109.66337
337,97.72683
338,95.263466
339,100.13872
340,93.686165
343,93.64507
345,115.85755
346,96.64453
347,112.51951
349,110.33433
350,94.880554
352,103.127075
353,92.785866
354,91.40168
357,95.96086
358,107.404564
362,108.18038
364,104.12643
365,101.52478
366,102.04961
367,106.59761
368,93.89555
370,81.59737
373,99.2453
377,94.01139
378,107.21413
382,104.285706
384,109.99527
390,97.34105
392,111.89347
393,112.19767
395,94.48044
396,96.605255
399,80.48491
406,108.96136
408,108.96136
409,95.40736
410,80.4604
412,112.596275
413,89.58768
419,99.00871
420,105.64759
421,89.99003
430,106.98763
434,93.46188
436,94.9765
437,102.96552
438,90.687325
439,110.76694
440,102.46752
443,101.78686
446,95.3693
448,93.430084
452,94.64784
453,109.02278
457,99.21777
458,94.87975
459,113.959366
460,103.92046
462,104.0237
464,101.545044
465,116.979836
467,112.41606
471,106.24074
472,77.116936
473,105.1263
475,96.110054
480,102.53664
488,105.561356
490,109.0126
491,104.97507
492,83.466385
493,98.25347
497,94.23487
498,107.88298
499,94.34577
500,101.183304
501,94.99041
502,110.347885
506,87.93002
510,107.4332
511,91.09124
512,93.769264
516,93.216324
518,97.41293
519,112.51951
521,91.56542
522,111.83597
526,113.93192
529,106.811195
532,111.48849
533,95.23071
536,111.11832
537,95.22078
539,94.80863
540,105.593605
541,96.8517
543,93.812935
546,109.62863
547,98.94565
548,91.686714
551,94.655975
552,107.469055
556,101.2314
557,101.832214
558,106.59761
559,94.442444
560,105.487404
562,104.985054
566,98.31179
570,107.88298
571,102.96552
572,100.92185
573,93.82055
575,116.979836
576,109.34995
577,95.56548
579,91.04351
580,112.285034
581,108.82504
589,109.0126
591,101.60499
593,94.73492
594,106.018364
595,94.72389
598,95.426956
602,106.7897
604,111.73508
606,107.47479
608,102.04175
609,105.80559
610,96.50248
616,108.11093
617,94.48663
618,106.45759
620,106.82049
622,102.0169
623,89.03212
624,109.11605
626,112.10199
628,111.842094
629,97.15629
630,109.49875
637,92.09168
638,101.13994
643,105.440056
645,102.53664
646,111.99989
648,94.84943
652,98.09773
653,101.74082
654,107.88298
656,111.106415
657,104.74828
659,100.17272
660,109.71758
663,93.30347
664,110.37171
666,107.759254
668,104.8612
669,94.41858
671,95.04476
675,91.19251
677,96.95702
678,107.64302
679,104.03626
682,106.214005
685,107.53098
687,96.74428
688,94.63922
693,112.103004
696,98.91328
698,93.842514
701,99.94421
704,97.67907
705,116.86332
709,103.82062
710,98.72622
711,107.81311
712,98.91522
714,110.61057
715,91.37557
716,109.0126
717,94.908646
720,116.13262
721,94.019104
724,105.904495
725,95.53536
726,100.473885
728,109.81706
731,97.374916
734,111.40969
738,93.009636
745,105.83588
746,92.5343
751,78.18151
754,96.249985
756,98.66039
758,98.52225
759,109.54568
761,117.94017
766,99.12042
767,107.31213
768,89.137405
769,110.83273
770,98.40344
771,83.466385
772,107.45761
773,96.118195
774,103.03656
776,109.99527
777,104.37149
780,113.10289
782,105.55996
787,102.999115
788,94.80863
792,91.26003
793,114.12307
798,108.31639
800,90.92238
806,109.0126
809,110.99998
811,106.66549
812,96.273865
814,116.979836
816,107.090965
817,94.134766
818,108.7438
820,99.970276
823,95.18631
829,94.18816
830,113.031525
831,92.14568
834,110.18276
839,102.3776
841,83.37724
844,104.85147
845,94.80863
848,91.83056
850,115.01467
851,106.88067
852,97.58297
854,93.19971
855,103.99399
856,108.17401
859,102.38006
861,103.03656
864,93.14263
865,103.5063
866,92.19408
867,98.220055
869,96.780174
871,92.80373
872,109.0126
882,103.29383
883,93.46188
885,95.13987
888,99.164696
893,107.52132
901,107.92547
903,104.94142
904,93.53417
905,107.99885
910,100.110405
911,112.93369
914,111.2478
918,106.42832
921,92.406006
928,96.88197
929,108.7877
932,102.87419
933,96.03385
934,100.110405
935,108.810646
937,80.58803
939,94.36103
940,107.01605
941,99.23399
942,105.5171
943,92.904755
944,105.0293
947,109.0126
949,109.35446
951,100.081116
952,94.99355
953,104.94142
954,77.33796
957,110.06546
959,90.04662
960,110.52099
963,116.979836
965,109.0126
967,108.98644
971,94.48572
972,77.513954
973,92.060844
974,110.823814
975,99.44117
978,107.358765
980,96.44664
981,94.05516
984,109.99931
986,100.110405
988,89.137405
989,106.98293
990,106.55958
992,107.92547
996,104.07353
999,109.31654
1000,102.20796
1001,103.5063
1002,90.57553
1003,109.99527
1004,90.59879
1008,110.41624
1009,103.0496
1010,107.0967
1012,110.005775
1013,95.25829
1014,107.825066
1015,94.157875
1016,116.66977
1019,94.573166
1020,107.509995
1021,100.110405
1022,98.1659
1024,100.110405
1025,92.50461
1027,96.23774
1028,109.57789
1029,98.37904
1030,100.00417
1033,110.06546
1036,102.37209
1037,107.996056
1038,91.46408
1042,94.36103
1043,106.03146
1044,96.16357
1045,110.78759
1047,114.66875
1050,94.67087
1051,108.40775
1054,94.87975
1056,94.05516
1057,95.2558
1059,93.92862
1062,106.0943
1063,100.95281
1064,94.05516
1066,94.30035
1070,111.83134
1076,110.36646
1077,99.056526
1078,111.5333
1080,107.9736
1082,100.62335
1083,99.741066
1089,105.94579
1091,99.164696
1093,96.32105
1097,94.76578
1099,96.365616
1101,100.110405
1103,100.014824
1104,111.479256
1106,105.80208
1109,93.93413
